accountid,summonername,championsplayed,championpoollabel
_2AIc2NP8gmuqto5vAoMyhcrfv8leQ5o29jvsAdOM7wcaJ60LSV1IQLV,채봄이,1,"champion spoon"
_2AyIJGGjCqyAhMdDz9fzas-TBof55iYhGYBntRpwNIHUSc,현실똥쟁이,1,"champion spoon"
_2B-P4VuWysh_pyK1s92ZQVNORCyTcWi-HMyND7M14cRfZs,몰드이형,1,"champion spoon"
_2B4Akja4I7W5B8sc0rc_uQCOAVqF2usbDE_a0R3l1bD,"기무치 현쿠야",1,"champion spoon"
_2B5zEOZEcvK-IsbpkQt0GbJObGWXRlhpOUNNemkUtWD,"탕 탕 탕 탕 탕",1,"champion spoon"
_2CJrUJ5jGZ-UE7xihYMnKlUvDYVzzXV2lyXBBJSVW97bEQ,Monsoon,2,"champion spoon"
_2CkaHWUQqt94v0yxUede2ermNYFX_Zzjj10kZaabo8YzNY,"앗 강하구나",1,"champion spoon"
_2CragCi6Ec9pIIP0SNeizuy8JvEpN8JiXnP3lwK6F19pxA,색연필,1,"champion spoon"
_2dAoB65GINogUVDjhg9IKMWz8FANZ3UveksBsDVljatgCM,yeachan,1,"champion spoon"
_2dcu1dsF8_NvFeMUtxkL4EknW4BIzfXu2ydrD0r8Ub4cjE,꼬리친늑대,1,"champion spoon"
_2dR92a6XPdraZ6FXxMrJ2GQ4Vs0Vn9ZyTk2LjEjeaLEMTb7NSniW2aL,"탑 미드 연습할게",1,"champion spoon"
_2EqkyleOjSW5X7AguZts6tLJm217w1bx-YbFXXtHQIiBNg,자크로묵언수행,1,"champion spoon"
_2FjjURE-xXX7U0nF9QaDbfJmDgMEAEmJUuHlo-h5txwtT8,"아동절 수오미",1,"champion spoon"
_2G2cIq06xv2ODha0ApdZqbZnJZDTYFqMqG1GCnnIqr_,히어로옹,1,"champion spoon"
_2GXuQqGQwdpdtYDjTwT8qKc-swzie5rDKKp9G6zFkAo0FhHG8vKjW4D,근이몽zz,1,"champion spoon"
_2he3259V9iurw6jpAV7MDrG9_GTpMTOxOTWiSwpRaVnPMA,000125,1,"champion spoon"
_2hfmRpLbLykiivQqC__tWDDcqh2SdkpMzG2ZV4HEXjHRQA,"짚을 땅도 없네",1,"champion spoon"
_2HmpRT4EFMnoLY7V5oGcxS7NBPdiP5iKjf2ikr7JQds,룰루1위,2,"champion spoon"
_2Hpq6IqxcAHLVfC20OwKOETcZAXS0EojtZLw0xS812a,이사구삼삼오칠,2,"champion spoon"
_2hvxlz9XhW_88bjYQcBnM2C4WsL-HPXR56mjpLSsjgfVRg,그만쳐던져제발,1,"champion spoon"
_2IZuHKXB8saF1u40_ArvHuafBUdwRAhKMj3_Fsdht8,꾸루마,2,"champion spoon"
_2k-AuoxxdiJhiukOpGnWzXgwqXNMcNBzCNo1blAiTfC,전백마,1,"champion spoon"
_2K2Hia8GiMMiC2TTdW2_ahV3pf8x1Td-DMQu5u4aDMbLr4,영진대렝가,1,"champion spoon"
_2KtMuaKddg1wW4EvAVQJgPkRjzcHrOViu-S9UA12Yzy3KM,은혜와진리교회짱,1,"champion spoon"
_2lFDr8gkLRwL0Vg8vDGTlnMuZ5OIfIAj4tj_9GjKoxBfNfhZ1AV0Hit,미드나잇인하우스,1,"champion spoon"
_2mdtlxnJaJ7Maan9BoXMIHXE9JrYu-GYq78yorBvmPYWGXPE8RDRolA,잠못자는녀석,1,"champion spoon"
_2MzIs_LSTnoNpCtsLMSjdaSxhtJQUkcmDgzOO0bkNkC5BY,나다모로가나,1,"champion spoon"
_2oBAfhNNpAdZsN2q4k5dA3KPizXSwzk9-MLymvWqBYR,"AlR 띠용",3,"champion spoon"
_2oHyevl-pmjexyCg_6kkVOZZKrjTXk4ZFpVRQU_T20x6BU,"리 얼 갓",1,"champion spoon"
_2pG9yg0BdHM0-U1bBmoS-S1dGv7ee0JCFbUeLXmY7I4PyQ,휘부랭이,1,"champion spoon"
_2PHSyZBIuCrftq06XDSmOXCk3HzkMTUngMulCsJLbuTDE5lR_TXJObM,UltramanTaiga,8,"champion pool"
_2Pq6hz1FAktRV1saUWXIs3STa7eytQ-DpYvGID_31Kc,물개씨엉엉,1,"champion spoon"
_2pukYZfp83Q8qWxPpoLppi2kSGJzUK6X_U3LmVVLSEv,"plausible excuse",2,"champion spoon"
_2QbzJxFuXl_TL1j_F5nuFwQe0bcj-e4ebTIpr7FEubi,트롤픽하면던진다,1,"champion spoon"
_2r0xd_Rah67G_AYdElteuZBZieIgdJx4_8vp2xQp5FBW9A,"칼바람 챔피언",1,"champion spoon"
_2R3xbwL7gecLmU2mMSv0WOGEpLW9wfdeWHeqILkwAMU,"차카게 삽시다",1,"champion spoon"
_2smY9EA3WUFAUmpIumk3dRjeEU2zhTxrHN30DifwVqnlLQ,삐류님,1,"champion spoon"
_2TgeWjjTTETon-clbdT3Ds-Cpwdudqmpt_vGivRnh4zxqE,의가사마려운사람,3,"champion spoon"
_2upOhW-vYOy1SnyuRXsdBJjP9IBjFT4Uq8J2GPypGan,duringking,1,"champion spoon"
_2uyU8t0TO0IrbjGq472-i8FIBoDepiHOQi8S9RBRLYy,"라 툴",1,"champion spoon"
_2wMDrPepA3-5jIzQdlpPeZJAVrblb14aaGZYHkWPbME,"적 귀",1,"champion spoon"
_2xEwgh3FjTrTZ89dBJAJEvnPVIBQpIMIOaP3GFEtIAskaM,승미니방패,3,"champion spoon"
_2xTWZIZpiaXwiybSnMdsuBJaoY92lb5cE9unupVnOOlIKY,골드사는쓰레기,1,"champion spoon"
_2y5hPqus0ovuqlq_0TItQwBLIGuoQNSv76jwfVd8oxu,너굴도리,1,"champion spoon"
_2Y9lHQeV5Na1QzqwUlHa0Em0KyxUuyOfW06MMTfZXJr,"와 드 방 호",1,"champion spoon"
_2ysowDBdLV5qjISggcMLH_80uq98_XDMziVrkrN2kzS,"영업3팀 이대리",1,"champion spoon"
_2YUtyUbUwP2mqkkpo9x7q5XrXskXcz6ep9P41Y6Q-meuqI,논술반수생,2,"champion spoon"
_2ZgcXSWBshk-w-YCkWq6USzMG-B8RoYSTvdz-y0g6g6,아주빌리지105호,1,"champion spoon"
_2zy78Uj9hUAFQApL6XL9a_SWfQouQlIHEtGNzQMOaHBq3Vk_NjSChpX,스마그sio2,1,"champion spoon"
_3_9Xr1781o9RXyNoJK9hl-A1u6lM6vB1bt6S_2EY2akw_s,유갱블리,1,"champion spoon"
_30-TSxDMZb76jn6SSsgmnamFutAlwycxSm2ziE12rmlbgc,Caixa,1,"champion spoon"
_30tO3rB5xQJeQ9BCYlb74DFowu7DDkXX30zpIkpES49,"버스터즈 채연",1,"champion spoon"
_31oGzO3782850dQKkmiWxCCR5_JmhKvT_NEPX_9Qw-E,공익형원딜김동성,1,"champion spoon"
_31qK7zuS83et8LUmhdHUjKjgZKO9Ci9-RwiU60tQQyF2L7wxde4SdDB,바네사s,5,"champion spoon"
_33RFzouOB3D2z2Q25egEfNqsLPnVwSj5AA8BuL_110q,냐냐콩,4,"champion spoon"
_33tkGO6UG1Q1yuYRGgZciWLeJ0ytKEF1-sEKmshPu5FvNc,하얀홍당무,1,"champion spoon"
_3472k4TTzHGZqVfcUCKkc54-ET1ka15GjTXqX-YEsjWBGXPXXC3KJ6J,묵은지WangJaG,1,"champion spoon"
_36uswYQEXRzXrM0d79RUVuwjWr2vK9yxQqXijV4zJOcbn4I5hQe85Aq,"알 주",1,"champion spoon"
_36ZHw6XsY6DBncEtlYqDDgYK5x6oezrrxW8HncKGxbb,"말뚝박은 배인선",2,"champion spoon"
_37a9HeTOIEhcYlJfo4c9XaGvC9EiyW4rth67BnSV0EE,국민짭짭이,1,"champion spoon"
_37Po2qvRtbBKZ9kYx7uZkEfGmAmjddZ4gy0Z78TvTVf-8g,우에하라아이핑보,1,"champion spoon"
_39D5DEAB1qqPY3FZ8c9xkGJMIwlj7nNhbVeZLGKHgvlxCktND0SP-H-,김영광짱,1,"champion spoon"
_3APFPt_uAkMdBcvks--WJaH1QHEUdHMoeHdPdaGawyD,백도씨,1,"champion spoon"
_3aPgZl-hRdpLCVzjNZkGJhnHAkUPEn6DcIgGDv8fL5Dzv0,마스터못가면입대,7,"champion pool"
_3b9AlbUfxBfbtR19V8GyCAI89LPG08xUBn_8JMQuKCGFiU,"형 오른이 됩시다",1,"champion spoon"
_3ExKRK0XLeTLuiGeSdH82foKGPM9yJxzBu6Kjxh1uZq,지단월,2,"champion spoon"
_3EZqRjleuacfN0QzHRGZwA50UeoiHGJRbcaGHOE89zxjcVCGXcMXSm5,aor1f,18,"champion pool"
_3FOX6lM8enMrkB7KVg2t9UjpXY2WLsJ1ownA_KSvbmaBps,룰루랄라티모,1,"champion spoon"
_3FvyVpGewfqvoH_zMsislDxovWAuT9az7pBw-PM-c13GNMmH5Yji3Cb,팬놈또패기,1,"champion spoon"
_3GfEO_VKmSKHFh862ND4sdGlpBc6Or0zyL63_Lku-em,강박증상,1,"champion spoon"
_3GZWK2Y3zTa96EeZR00w0gMgqJuyVeXyHrm3_fzoledhP0,"B X F",1,"champion spoon"
_3HUlPuU1hLuIAKZJ9b6Ak6sxMW336EOlziEksm2zt5wuOE,"시 경",3,"champion spoon"
_3IaclIii4NiN7_7TjPjee98199NHCK_izQqN70eiBMj,유느느님,1,"champion spoon"
_3IeXh7c6N_VyF1tz63wvrXonlj3sdJeAyvlX8Bxhp6r,"째 똥",1,"champion spoon"
_3IkS6iB_iNU2_cHTQNVkLDtOjQZk6_GoYoVS9OPDM6-poJnucA-RmV-,"끠 박",1,"champion spoon"
_3jKInzVEOjszrx4N31QycHMS3DCwDcDH8BdQ8XR-Rt200o,엘레네아,2,"champion spoon"
_3M-KfL1f1zN1ACnN1xnjHPCpK5yxqPSxWbXZpgBlyQVH4A,"잭과 콩 국수",1,"champion spoon"
_3mr_Oc-94is8Asq3b0RzFAncJE2t_OftU4sdFlToQ_v,미아신고해라,1,"champion spoon"
_3MY3NrM6G14mUUsnRot9iyGqW91VpEjc_q3x8Q1R50lUIc,칼바람나락쿠,2,"champion spoon"
_3Nsntdveu7IpKZof1SMmVZiNBiaiSNFh2PW_2idSUy1Kub3FDYgrv-t,F4Corsair,1,"champion spoon"
_3nXyxKAoQm95Vls8MvKr3GNdsjDUM2hHZWTcLYljxXD,웨이트하자,1,"champion spoon"
_3O0LbJPNPp9_oqZ1ti-bptNXTi2aualNAEt2q0w4QEZzk5aUGWpurVe,"Carry th",1,"champion spoon"
_3oM9MIGsEj58NPqjXqtZIfBk6tbik8dAwiAi8n9PL0ZYWdGcP4byQQs,다음주복권1등,2,"champion spoon"
_3PhAGl7OtXJxkICpZ8SN89w_xCjQh8p6y0biOj01v-nJBw,"Afreecatv 쿠데",1,"champion spoon"
_3s0aL1-TYWRQYwR8h9Rgm_khuWVJHWRIhBze__yV08W,슈슈산책중,1,"champion spoon"
_3Sayy1B8If18LBSYngXF9aImh4VKRjZ4oFanf7rq1moVIk,"샛별의 숨소리",1,"champion spoon"
_3tTCR6jb_edKS5yUh-3jsN_MZ_Vhx4PX-Jmmo5ksC4Mpek,"짝다리 챔프",1,"champion spoon"
_3wtlmh8tiEiZMFngDV_rJg42cB0f04ohUF7ctrXGP3ZIh8,SecretGame,4,"champion spoon"
_3xfo4a5qjEG0QyWFeBVQKyMIuqKjBnqXWKqp0xPpps-qRE,EvA삼치,3,"champion spoon"
_3yDGIsRrprN6-sHIXqn9fX-3lc54TfN8qmzpJaM6J2nHZY,맹구엄마,1,"champion spoon"
_3Z3xwrWhzorH_fkllpFaTw3Q9EU6rpI633ynKQPAqC0vD-rz1qZR94K,"바니걸 티모",1,"champion spoon"
_3ZApN5hYa8qKKh8PCw45rAYeEJ_YWnw55tp5uUAdTM,빽푸린,1,"champion spoon"
_3ZHWbrP29grrHzNpK3vDuD04TFbg37uOlj-eLCW9jpx,무우우,1,"champion spoon"
_3ZZB3hjM4glcDX2oMxMKK3bLMnLPGNOCvJrah73JBlH,혹혹훅훅훅,1,"champion spoon"
_40BjQRr5TUre8NKytzwdtXuu5GVVilpf_IH1xhQ4w67,"복실복실 강민",1,"champion spoon"
_45ELSCVXIol-zRIMVkt4ghLZIEIBYDqXgJPVwLkuoCG,"Ler0y Jenkins",1,"champion spoon"
_45mpHA49yI-U-jBSm4LnSLaFdjYkrOfuMSNFSWCERxK,쓰레쉬본좌,3,"champion spoon"
_471-V2zPyRXye0rVzxS1UckOpd2uYhc2HhyLgtaRlGk,내사랑을찾아,1,"champion spoon"
_47BJGvwMf-ro9foo-DT_wI3JmHf5hEx5Zfyg9aUg_SlFwW-CnYosRhM,G4tsby,1,"champion spoon"
_47kjaNkGVEUSV3APBc8Bl0ES7knaI1AeiMSian1yoKE5T0,김승혐,1,"champion spoon"
_47MiDX__h3RO2ri6cZL4XH7usB-4yG6APQ-bgeSiBBiRKc-ACuWxC30,aaaay,1,"champion spoon"
_486ftNcHCfK4D-RtjE2ju2tYpMyRZoyLXLZFDDdIHJL,"임 질",1,"champion spoon"
_49x0QBjMFA9EIvFXip9xwriPuzXQasMqY6ShcgHDgXLaRwKwOtxvPhi,유학온외국인,1,"champion spoon"
_4AgXrmEqc-EJM1GDdgD4dGDY641AlZaLUbjxlwp7kDcp04,색종이를피기,1,"champion spoon"
_4ByJBlNEQReqJg__NF9WoOzxt5iGcg_wo9rrS9wIDlC6Y_cAjoWIm21,Hiro,1,"champion spoon"
_4cZnoI36hRFydMn38C1X6thG-3Wh9iVaAo6nUgOSQurIoY,TheTreeper,18,"champion pool"
_4CzRnWfdLRbIdZKrjNMTyveI9lUD2pcmje4iTtjMbjQ,강아야,1,"champion spoon"
_4CzRTWtOCts2NVGdUGvNiloonNIR7KYO7omZHw6IKB4f22Z0pdHXHje,"15 무새",2,"champion spoon"
_4dpqCj4Q1jikq-6FGjsyhZenwMn1Q7jm8wRu6P9gNWk1FDNsozUYF36,"알아서 해도 될까",1,"champion spoon"
_4EApYcug5rMGOH55rAZMhgMkxcq3gsBxuWd64B3wsUp,Foxism,1,"champion spoon"
_4eLm0gEUzH3c95pvzcb8rylBABv4njrXo8G0_DKDFbY,"Hacuma matata",3,"champion spoon"
_4FgoLf-sBkggyXNxLA39T2RqxAO4HaYUycV-eVd6G8jno0u3WA8UuMF,"가장 밝은 별3",12,"champion pool"
_4FgQjDm8v0U5vXxxlwu0ek6P2EGXPie8SAHxkyO7Y-4,과수나무,1,"champion spoon"
_4fKuWh9iKZMhSze8jXUX9AEEnZw4uBLDCX1FVEKebBK,"Amor Trouble",1,"champion spoon"
_4FnhGHhTJlCyqRBlUPYpKLHTNzGf-k-FmueNDFutFsGg6s,롤보다얼굴이재능,1,"champion spoon"
_4hUvE33cox2IxM78G65xj6bgB91hkD7C7pHPzUrGybaBZE,Aronamin,1,"champion spoon"
_4hXEjlwUR5AdeDRsseL_YEW3b820wj5mcqlB0nhzzqP6_4,슈욱퍼엉,1,"champion spoon"
_4IDa0HUEsKx0KwYEkFCSLzTLPSsq0lJ5D_2XoisRikZ-fLXdYzYVfBn,IlllIlIIlIlIlIl,1,"champion spoon"
_4iTbZzAgKk-1rQM9JqLhfsoMn3l_w034Srp34uhmy4tG5M,율하보짱,1,"champion spoon"
_4IXN-7psbBnXApkKGTd_pFmzALepnHg5qirDAvBj2Z9,춘천사는21살,1,"champion spoon"
_4JqM3lJkCWewwXqn6NB5Ban_bDiopdPEo-4vB1T8TihyH8,2020년2월10일,2,"champion spoon"
_4K71pjxibitRohTI5RZOpq16IanpbMHRgJNfT210T03,Zi승호Zone,1,"champion spoon"
_4kFQV7owSZByzp8y6Vwc8S9m13MSn2bJMiAg-PqHwxSZhQ,컨버스매장알바,1,"champion spoon"
_4la9bd5A5GdLF4ulkkT7372ge4vcn_dHWoJ5xOVTSflEEY,LOL뭐하지오늘,1,"champion spoon"
_4LKczxCP9Le_NgOmY2Fp10PvrrtRu1VCjyBF7SK9uc-,Altemion,2,"champion spoon"
_4Lxu8SO7LWhISbJDc1xr9qcMsGu4s_ITZ9x_e2342os,라올동당하,1,"champion spoon"
_4mw-dC7qNaNMY6Gq17UAfK-Bz7KEU1Q9cU80FEc0vJN,Mezahee,1,"champion spoon"
_4nA23zhRTHgo5seDgfuBn7n9VM_M3qSbS61o3ptntx7,"산 류",1,"champion spoon"
_4nGScY4WQmPFgm4-DMETPLwlSeP3eugBqHFuDgdJkn4ycs,"팬티 속의 감자",1,"champion spoon"
_4NkUoSQxFBTzGevpjpxUp-wSC1tDZakc0sa8QIJiFvamnGkanJbRur_,Youngyang,8,"champion pool"
_4o9VYkp88TIzYrWdP110LhsO8oYpSwJOjnKxVvGQXor9oM,"이제부터 원챔",1,"champion spoon"
_4oZjxZcu6iuFJ7vxEi2p9n7AqhVR9wtmapUrxtcdgttT0-g-t1A04A_,MNNMNNNMMMNMMNMM,1,"champion spoon"
_4paMYSQZbWMY6frZsQcM3SQGl896urCTrZteffXMY1B,단단하게자신있게,1,"champion spoon"
_4QFn2x9jjPeALJIn678gp-ylCiYvJ9c4oC63ZJ1_pLglCA,WaiGua,1,"champion spoon"
_4qglQiMdoUPzZgHNRgRoRqScLLndZU1TE-TRBNY1Vfx,konakona22,1,"champion spoon"
_4rDhmYK9_tx9n3p-1Czpdzq-mafc3ZD73opwIEN5sOc_WA,데리다,1,"champion spoon"
_4rIPTwKQ4_Zvc3wSdCktHfeee9YTSmLWRKhLFqxMwlIjpE,넌캐리못해요,2,"champion spoon"
_4RQL1mT5c5v2AHwWYlNliG9J75sGxLy5BGz2MMgIJtJdlM,승률관리안함,1,"champion spoon"
_4svnW0MCUBURjz437eUNteQOxHZcjvzvoXAo7t6xcfNbsU,맹수경도,1,"champion spoon"
_4tnFamrTimgxNcSkAsiQzUY-IZ634GQgK4rMaqcQv64EyUow7xzgWP3,xhxr,34,"champion sea"
_4trE4YEmm_LzEnYx8QtozqDPjFxFlqcdQOFC1SNlF-0,Top워윅,1,"champion spoon"
_4U8eSa-7S50QH7NSazgCTgDP8iHnEgTSw6pXOgiz1wc,덕자덕자덕자,2,"champion spoon"
_4UX_ETWbjmh_Qbgn9EikZdqy3qKBX_rYtOlAiP1v3wR5o-jV4EaJaiG,끄떡없는사람,6,"champion pool"
_4WDVyS8FPhKH_JmepZONjV01i05xYqI3fqMQhD9k1N6-Po,선영이홍콩,1,"champion spoon"
_4wEET03i6maNiusz9V3qwTSGo9096DeCtJRCM3BHQxm,"베인 야스오",1,"champion spoon"
_4wvULNm9GSbfGnfmY63KSMKk0sNXZrjyhRqtSBvGdWm,완선이,1,"champion spoon"
_4xMK4QLAYkFEHXn2PpjF2a-o5m3W2wgK8vpwW0lEyyu_9o,일본문리,3,"champion spoon"
_4XzUe2n0pNIdNTWzGIIsFEasT3ka0PKKP17RWUO1V8LTzQ,Karches,1,"champion spoon"
_4YPFICcflnBSJG7KzqR0p4C1t4bJQbDaJSBxaCcGRe_,다음계급은민간인,3,"champion spoon"
_4yUsoJongMCMOrzw7VxK3UjSz6gmTefii_dHRiuRCbi9Pk,"소문난 듀오",1,"champion spoon"
_4Z2fb-S3AjNFYpgVJvYiS8XPhmFaUrFzre6PuWCv59L2JU31X_VcrzZ,"쥐 당",1,"champion spoon"
_4Z5ti28juEmtye7C14BhTUQEtNABP4YRpb3bDnEJRZrbfeUNNSFwZ6x,오르니대세여,1,"champion spoon"
_4ZFED3tKeM1RcoX8G-UcLv0mKmL3NgQfnlgRv-9Hz09KSI,운암고,1,"champion spoon"
_4zJmEYs6_YiGMEQqOsIaDeH1WDBp8qXs4M9tczUtyYMO6n0awmQ5ASW,정글님갱와주세욧,7,"champion pool"
_4zOKOb_6nldFNfoPQShGJJNFvfJHlpfilW4qgnOglkH_wo,과학은야스오,1,"champion spoon"
_5-CKL88_8b4oHCIMjAOLF3qBSo6GWSskJ-LPWifiEtabJ4,EisRain,1,"champion spoon"
_5-fD5C2qlxLCJ2Lq6tNxqCP-p2wdfBhdXMsKASZwKP4,김삥남,2,"champion spoon"
_50uuUOkNUWh_ylEVOeyQTeNTELTUttStTbdcBS68Ogq,하스티나,1,"champion spoon"
_52AMH3A3e2kW9tJ9AcHU0a9iIjFvWmUHPBd7cH-LMGaH8w,서폿대학노틸러스,1,"champion spoon"
_55g0bsa9KEBtbKrBF7a3ySFTxfoNGbHYV4WN0nQioYIg6o,정글아,1,"champion spoon"
_56-2jK_Gmup4Su0u9oR7XNZIaA3QQZcxhInagRwcCPfFb8,"com to me 장인",1,"champion spoon"
_56e1x4sgwyZAkrtpiiX2IXCNT1vAsNhI0F7ug246coLzhP6gRoBAVJl,복학생집단구타,1,"champion spoon"
_57zm8VMbdfIdw918TQqXm0bGjibJ308uhM9QAVQM4w,"발라드 작사",1,"champion spoon"
_58DJ4yMtO4Dy-s9vun5fEGU3br5Hy1pChbqMnvNGD5Dxmk,"돌맹이 줍는 맹구",1,"champion spoon"
_58yFbwvRQeU4wOifzwOVo-j9_Krp1QK0Htjj4W6rfP1,"끈 대",1,"champion spoon"
_59FytM1MyEBDmTg4xJt__3CuBvCQgOMDAH2PlFupWwesF0,나라짱,1,"champion spoon"
_5AljiiMniLawCbJrojp_Gjuvmx_aZ-JxTjj6rpxauwu2-0,"태양을 꾹 삼킨채",1,"champion spoon"
_5aXYlsNMsK3akWlolGMLpo9b8fQw3QzlrKwfL1TYTvQ3RM,현식곤듀,1,"champion spoon"
_5AXZGNOipPsLe7qB6YDsa4zQEhEIg3OvmpFhjnYR4OI7LU,이야이,3,"champion spoon"
_5bbvyKGG8KLaeyXE2WkLtFuXDhFlw4_qLWvoLVgW_bUjY5BfeETfJ_q,"Solar DNY",1,"champion spoon"
_5bUYqyyHtr1AV46ZMIPLvSoZTpors1hn796AK7Rw1g,커피둥이,1,"champion spoon"
_5dgLBd12qOevkOw9Q2SyzqwqOcuH1kUT05FcMSPi4gBLCda-D47W9Ec,다현0주,1,"champion spoon"
_5dj4aZU5zVtwfx5qcV1WMGh7xsdfL29Fkeg5bjloIqE,서노선호,1,"champion spoon"
_5EdO65ywgW5ZBGUPxT-CB3LX-mpwqDdi0dVMxZPosrK0q4,"마스터 초밥왕",1,"champion spoon"
_5efXSlptgKxM29salsz9VniiHAC_QtjCPqvtGAJvuS1idI,"인생은 솔로처럼",2,"champion spoon"
_5EJheJCvRe3jkwANB8jbbckGP67uagrjAIu0lbkjocgGPVMdGXjZ-YJ,뭐냐이죄책감,1,"champion spoon"
_5f8VN9gMAVYpglVOBgWHouzqHMW6YwcrMdJ-RwMB05p,김청관,1,"champion spoon"
_5Fhfuc0Tz9Z-Y1owvepXTYTaNqaS2YWE-4iKUTQTcuA3Tk,느그어머,1,"champion spoon"
_5gRdZi7sUQEuEz9XuSokmMUxSEc3VkguNuDe7kDK0xUJh0,유령헤드,2,"champion spoon"
_5GsU4WR7bha_fmUdv5lnGEgSBUSri0eAeoiKhNOW_gsSBo,사슬채찍호치호치,3,"champion spoon"
_5gSXH50YDkmDfhfWZ9lDoOyO4In6UVK7UuAoAOHgLYLF3Y,"Felix Judian",1,"champion spoon"
_5H9SoIjEWix8Jiaq76llpmEXlue-fFESH880-aQq6YV,급발진뿌아아앙,1,"champion spoon"
_5hL_uiHbsmqboXj5w34RsZPYocrJqQZiCE8REUwzed7xm1UDGdnkrOp,"윌럼프 물어",6,"champion pool"
_5I3AOZARf74fFrVlqcmiZjxvaSzGX6MdSrtYdG3TEms,15148,1,"champion spoon"
_5IqQsowaZGymxEulPsFJ7f5x-lkg3PcZdeC2ke8bcZ4O88HE6Gd8sOA,"Dergi Na Han",1,"champion spoon"
_5jomWyksOvA1aT1dLbUUTdeDq0CXOnpUaH10R-IJLml,"용 조리사 룰루",1,"champion spoon"
_5kCA9ZdvKo_MzG2uahBPOedGGbbiKHwqZWNSwS7NVIX0Fk,소주한병주소,1,"champion spoon"
_5kxPEYPRPZ-rhunqTe229C6hhY-THHZD8_Qx0NS8dIB,아랫집고구마,2,"champion spoon"
_5L-rYob07X-LKVRQGhFS95EhLCsBwR2P-WTvAAImp7h,짱담두까치,2,"champion spoon"
_5L4xj0YIwmtgmXhHTcH1y3OyHuEmNnGFr_4u3rt5kWr,"VAG 올레",1,"champion spoon"
_5lEuDt9-arHX40y82gauRp6LXV3_8plLwjmG16WAp64QUk,"막걸리 소믈리에",12,"champion pool"
_5m_EWTW5wRx-cE3dJ-K9IlKx9LGyKnNUIe34hR3M8n2vscHiYKU3Vvl,Diffeomorphism,3,"champion spoon"
_5M2PV9Kp0GYApTnLngqSN_2uoNsaJ4BvSpfoSOdHCV3,인꾸르,1,"champion spoon"
_5m3viJ7C_N_C_QMpQHHGHgDU5od5wFSfbizaZobLIiEeuk,아빠바론,1,"champion spoon"
_5Mgl8hQf7LdAe_1-eaqxIPFKvoqsBvPl0MeAfemXrHV5pz1-pQ26fv5,"Navy 637th",1,"champion spoon"
_5N3yhPwBWq_QPZmpn8f7fK4nPC6dFDE6ILAWBKnl_AjZ5M,됴아라,1,"champion spoon"
_5ornP-tYvP3WiJLElSKu9gLQ82Kb4gkZXxLiTERTQhgd0U,갱생티모,1,"champion spoon"
_5pDkHU2jGGVHxKRLwsG032DR2q1inTUVcAR7E6yF24,형나가있어,1,"champion spoon"
_5Q6p6tuxoXHMMM2Wa2BNJHGmMlUh7AwzFcov2I6y873X20,강한정글마이,1,"champion spoon"
_5QOLdG4aRT-j498-3iSnuSMhwGexJQRWiHkgant_Fn6JJw,잠자는곰도리1,1,"champion spoon"
